nome,idade,email,genero,cep,cidade_estado,bairro,user_ativo,produto,produto_valor,data_compra
Sarah Harmon,20,anafreisa.teste@gmail.com,M,29938070,São Mateus/ES,Residencial Park Washington,0,Cerveja,4.0,2021-03-21
Bobby Ward,19,anafreisa.teste@gmail.com,M,26087395,Nova Iguaçu/RJ,Austin,0,Refrigerante Guaraná,2.3,2021-03-12
Brittney Harvey,70,anafreisa.teste@gmail.com,F,25561310,São João de Meriti/RJ,Jardim Noya,0,Tequila,95.99,2021-02-08
Pamela Morales,25,anafreisa.teste@gmail.com,F,72261223,Brasília/DF,Ceilândia Norte (Ceilândia),0,Refrigerante Cola,3.5,2021-03-10
Ashley Morrow,38,anafreisa.teste@gmail.com,M,11030520,Santos/SP,Ponta da Praia,0,Vinho Branco,56.9,2021-03-03
Patty Krueger,43,anafreisa.teste@gmail.com,F,41207345,Salvador/BA,Tancredo Neves,0,Água,2.29,2021-03-20
Cristian Morgan,29,anafreisa.teste@gmail.com,M,60545287,Fortaleza/CE,Granja Portugal,0,Vinho Branco,56.9,2021-03-06
Mr. Kenneth Wheeler,22,anafreisa.teste@gmail.com,M,19025250,Presidente Prudente/SP,Parque Residencial São Lucas,0,whisky,129.0,2021-03-18
Beth Blair,59,anafreisa.teste@gmail.com,M,9710012,São Bernardo do Campo/SP,Centro,0,Vodka,33.8,2021-03-06
Dr. Jonathan Allen,46,anafreisa.teste@gmail.com,M,6124210,Osasco/SP,Vila Yolanda,0,Vinho Tinto,69.9,2021-03-04
Tara Russell,21,anafreisa.teste@gmail.com,F,89509630,Caçador/SC,São Cristóvão,0,Vinho Tinto,69.9,2021-03-10
Cynthia Myers,29,anafreisa.teste@gmail.com,M,82400200,Curitiba/PR,Butiatuvinha,0,Cerveja,4.0,2021-03-04
Samantha Guzman,58,anafreisa.teste@gmail.com,M,54365530,Jaboatão dos Guararapes/PE,Marcos Freire,0,Vodka,33.8,2021-03-18
Andrea Rodriguez,40,anafreisa.teste@gmail.com,F,91420385,Porto Alegre/RS,Bom Jesus,0,Gelo,10.2,2021-03-07
Savannah Jennings,54,anafreisa.teste@gmail.com,M,79648522,Três Lagoas/MS,Village do Lago,0,Vinho Branco,56.9,2021-03-19
Kristen Steele,59,anafreisa.teste@gmail.com,M,31814327,Belo Horizonte/MG,São Gonçalo,0,Vodka,33.8,2021-02-18
Ryan Williams,33,anafreisa.teste@gmail.com,F,58046525,João Pessoa/PB,Portal do Sol,1,Vinho Branco,56.9,2021-03-26
Thomas Rodriguez,29,anafreisa.teste@gmail.com,F,49091030,Aracaju/SE,Bugio,1,Vodka,33.8,2021-03-29
Jessica Shepherd,46,anafreisa.teste@gmail.com,F,6331065,Carapicuíba/SP,Jardim Rosa Maria,0,Refrigerante Guaraná,2.3,2021-02-06
Mark Hawkins,59,anafreisa.teste@gmail.com,M,9169188,Santo André/SP,Sítio dos Vianas,0,Vinho Tinto,69.9,2021-03-18
Maxwell Miller,55,anafreisa.teste@gmail.com,F,79822560,Dourados/MS,Altos do Alvorada,0,Vinho Tinto,69.9,2021-03-03
Jay Davidson,71,anafreisa.teste@gmail.com,M,7749100,Caieiras/SP,Vila Rosina,0,Vinho Tinto,69.9,2021-03-19
Cody Vargas,33,anafreisa.teste@gmail.com,F,71640075,Brasília/DF,Setor de Habitações Individuais Sul,1,Vinho Branco,56.9,2021-03-25
Jason Bailey,60,anafreisa.teste@gmail.com,M,5441000,São Paulo/SP,Sumarezinho,0,Refrigerante Guaraná,2.3,2021-03-04
Richard Fisher,33,anafreisa.teste@gmail.com,M,14177297,Sertãozinho/SP,Jardim das Palmeiras,0,Vinho Tinto,69.9,2021-03-20
Eric Russell,57,anafreisa.teste@gmail.com,M,7140140,Guarulhos/SP,Jardim Tamassia,1,Refrigerante Cola,3.5,2021-03-23
Brandon Miller,42,anafreisa.teste@gmail.com,M,30421010,Belo Horizonte/MG,Nova Suíssa,1,Vinho Tinto,69.9,2021-03-31
Christopher Chavez,54,anafreisa.teste@gmail.com,F,24030128,Niterói/RJ,Centro,0,Vodka,33.8,2021-03-11
Jerome Hernandez,54,anafreisa.teste@gmail.com,M,85010981,Guarapuava/PR,Centro,0,Tequila,95.99,2021-03-02
Bailey Carter,18,anafreisa.teste@gmail.com,F,42702180,Lauro de Freitas/BA,Centro,0,Vinho Branco,56.9,2021-03-17
Tiffany Hutchinson,30,anafreisa.teste@gmail.com,M,66645190,Belém/PA,Castanheira,0,Cerveja,4.0,2021-03-21
Jonathan Ramos,19,anafreisa.teste@gmail.com,M,5452050,São Paulo/SP,Vila Madalena,0,Cerveja,4.0,2021-03-05
Eric Edwards,59,anafreisa.teste@gmail.com,F,88030170,Florianópolis/SC,João Paulo,0,Refrigerante Guaraná,2.3,2021-03-18
Amy Garcia,47,anafreisa.teste@gmail.com,M,35162252,Ipatinga/MG,Bom Jardim,1,Cerveja,4.0,2021-03-23
Raymond Yang,30,anafreisa.teste@gmail.com,F,58800684,Sousa/PB,Centro,1,Vinho Tinto,69.9,2021-03-31
Ryan Weaver,21,anafreisa.teste@gmail.com,M,25914050,Magé/RJ,Cascata (Santo Aleixo),0,Refrigerante Guaraná,2.3,2021-03-11
Donna King,25,anafreisa.teste@gmail.com,M,18404531,Itapeva/SP,Bairro de Cima,0,Vinho Branco,56.9,2021-03-19
Zachary Lamb,34,anafreisa.teste@gmail.com,M,32400575,Ibirité/MG,Nascimento,0,Gelo,10.2,2021-03-02
Brent Johnson,34,anafreisa.teste@gmail.com,F,89065525,Blumenau/SC,Salto do Norte,1,Vinho Branco,56.9,2021-03-23
Katie Hammond,40,anafreisa.teste@gmail.com,M,40420220,Salvador/BA,Ribeira,0,Gelo,10.2,2021-03-11
John Robinson,41,anafreisa.teste@gmail.com,M,20080050,Rio de Janeiro/RJ,Centro,1,Vinho Branco,56.9,2021-03-29
Melissa Saunders,49,anafreisa.teste@gmail.com,F,30642530,Belo Horizonte/MG,Santa Helena (Barreiro),0,whisky,129.0,2021-03-01
Timothy Mitchell,37,anafreisa.teste@gmail.com,M,69401038,Manacapuru/AM,União,0,Refrigerante Guaraná,2.3,2021-03-08
Rhonda Pena,21,anafreisa.teste@gmail.com,M,91450060,Porto Alegre/RS,Morro Santana,1,Refrigerante Guaraná,2.3,2021-03-28
Christopher Graves,26,anafreisa.teste@gmail.com,M,9220210,Santo André/SP,Vila Metalúrgica,0,Vinho Branco,56.9,2021-03-15
Robert Barron,70,anafreisa.teste@gmail.com,F,54330765,Jaboatão dos Guararapes/PE,Cajueiro Seco,0,Cerveja,4.0,2021-03-15
Justin Bass,39,anafreisa.teste@gmail.com,F,72725315,Brasília/DF,Veredas (Brazlândia),1,Tequila,95.99,2021-03-25
Jonathan Sims,36,anafreisa.teste@gmail.com,M,29090520,Vitória/ES,Jardim Camburi,0,Cerveja,4.0,2021-03-08
Evelyn Cline,36,anafreisa.teste@gmail.com,F,54100650,Jaboatão dos Guararapes/PE,Vila Rica,0,Vinho Tinto,69.9,2021-03-12
Keith Olson,57,anafreisa.teste@gmail.com,F,54350270,Jaboatão dos Guararapes/PE,Muribeca,0,Vinho Branco,56.9,2021-03-12
Anthony Johnson,50,anafreisa.teste@gmail.com,F,88160030,Biguaçu/SC,Prado de Baixo,0,Refrigerante Cola,3.5,2021-03-04
Ashley Ford,42,anafreisa.teste@gmail.com,M,55813339,Carpina/PE,Cajá,0,whisky,129.0,2021-03-12
Matthew Guzman,22,anafreisa.teste@gmail.com,M,89040365,Blumenau/SC,Velha Central,1,Cerveja,4.0,2021-03-30
Jennifer Dorsey,51,anafreisa.teste@gmail.com,M,86188380,Cambé/PR,Jardim Ana Eliza,0,Vinho Tinto,69.9,2021-03-18
Christopher Brooks,38,anafreisa.teste@gmail.com,M,83408526,Colombo/PR,Maracanã,0,Tequila,95.99,2021-03-07
Andrew Perry,46,anafreisa.teste@gmail.com,F,71827615,Brasília/DF,Riacho Fundo I,0,Tequila,95.99,2021-03-18
Nancy Hardy,28,anafreisa.teste@gmail.com,F,8070320,São Paulo/SP,Parque Cruzeiro do Sul,0,Água,2.29,2021-02-10
Krista Brown,27,anafreisa.teste@gmail.com,M,32017100,Contagem/MG,Nossa Senhora do Carmo,1,Cerveja,4.0,2021-03-25
Jermaine Gonzalez,51,anafreisa.teste@gmail.com,M,32073330,Contagem/MG,Industrial São Luiz,0,Refrigerante Guaraná,2.3,2021-02-27
Brian Jenkins,42,anafreisa.teste@gmail.com,M,66070010,Belém/PA,Terra Firme,1,Vinho Tinto,69.9,2021-03-26
Christina Johnson,28,anafreisa.teste@gmail.com,M,58030204,João Pessoa/PB,Estados,0,Vinho Tinto,69.9,2021-03-04
Tyler Burnett,67,anafreisa.teste@gmail.com,F,19812058,Assis/SP,CDA,0,Vodka,33.8,2021-02-09
Edward Alexander,66,anafreisa.teste@gmail.com,M,2131110,São Paulo/SP,Vila Maria Alta,0,Água com gás,3.29,2021-03-19
Alexander Rhodes,61,anafreisa.teste@gmail.com,F,76873533,Ariquemes/RO,Setor 04,0,Vinho Branco,56.9,2021-03-15
Tiffany Smith,30,anafreisa.teste@gmail.com,M,19064380,Presidente Prudente/SP,Conjunto Habitacional Ana Jacinta,1,Vodka,33.8,2021-03-27
Travis Moss,25,anafreisa.teste@gmail.com,M,58106122,Cabedelo/PB,Portal do Poço,1,Vinho Tinto,69.9,2021-03-28
Bradley Kelly,43,anafreisa.teste@gmail.com,M,83411370,Colombo/PR,São Dimas,0,Cerveja,4.0,2021-03-12
David Alexander,34,anafreisa.teste@gmail.com,F,4692020,São Paulo/SP,Vila Gea,0,Refrigerante Cola,3.5,2021-02-03
Dr. Joanna Brennan,40,anafreisa.teste@gmail.com,F,89010395,Blumenau/SC,Jardim Blumenau,0,whisky,129.0,2021-03-08
Curtis Anderson,50,anafreisa.teste@gmail.com,M,78150236,Várzea Grande/MT,Santa Isabel,1,Cerveja,4.0,2021-03-28
Paul Smith,27,anafreisa.teste@gmail.com,M,50970350,Recife/PE,Várzea,0,Cerveja,4.0,2021-03-20
Sheena Austin,49,anafreisa.teste@gmail.com,M,64020050,Teresina/PI,Santa Luzia,0,Tequila,95.99,2021-03-03
Jason Richardson,19,anafreisa.teste@gmail.com,F,36085380,Juiz de Fora/MG,Cidade do Sol,0,Refrigerante Cola,3.5,2021-03-09
Savannah Davis,33,anafreisa.teste@gmail.com,F,44075355,Feira de Santana/BA,Ponto Central,1,Gelo,10.2,2021-03-23
Daniel Miller,43,anafreisa.teste@gmail.com,F,13313009,Itu/SP,Vila Padre Bento,0,Vinho Branco,56.9,2021-03-06
Jason Anderson DDS,61,anafreisa.teste@gmail.com,M,85937970,Bragantina (Assis Chateaubriand)/PR  - Distrito,Centro,1,Refrigerante Guaraná,2.3,2021-03-26
Becky Burnett,23,anafreisa.teste@gmail.com,M,87035488,Maringá/PR,Jardim Andrade,0,Cerveja,4.0,2021-03-11
Brian Erickson,65,anafreisa.teste@gmail.com,F,86045340,Londrina/PR,Cafezal,1,whisky,129.0,2021-03-26
Sherry Rojas,38,anafreisa.teste@gmail.com,M,88512685,Lages/SC,Araucária,0,Cerveja,4.0,2021-03-22
Lacey Khan,28,anafreisa.teste@gmail.com,M,5109110,São Paulo/SP,Chácara São João,0,Tequila,95.99,2021-03-05
Joann Davis,60,anafreisa.teste@gmail.com,M,79816470,Dourados/MS,Campo Belo,0,Cerveja,4.0,2021-03-05
John Lynch,65,anafreisa.teste@gmail.com,M,6543340,Santana de Parnaíba/SP,Paiol Velho,0,Vinho Tinto,69.9,2021-03-17
James Foster,21,anafreisa.teste@gmail.com,M,16071037,Araçatuba/SP,Jardim América,0,Refrigerante Cola,3.5,2021-03-11
Thomas Miller,56,anafreisa.teste@gmail.com,F,4774030,São Paulo/SP,Veleiros,0,whisky,129.0,2021-02-28
Jessica Lucas,68,anafreisa.teste@gmail.com,M,31035274,Belo Horizonte/MG,Horto Florestal,0,Água,2.29,2021-02-03
John Wallace,54,anafreisa.teste@gmail.com,F,63213000,Buritizinho (Mauriti)/CE  - Distrito,,0,Gelo,10.2,2021-03-13
Leslie Neal,39,anafreisa.teste@gmail.com,M,56509270,Arcoverde/PE,São Miguel,1,Refrigerante Cola,3.5,2021-03-28
Daniel Russo,32,anafreisa.teste@gmail.com,M,88010460,Florianópolis/SC,Centro,0,Cerveja,4.0,2021-03-15
Dana Rhodes,24,anafreisa.teste@gmail.com,M,22745160,Rio de Janeiro/RJ,Freguesia (Jacarepaguá),0,Cerveja,4.0,2021-03-21
Holly Coleman,21,anafreisa.teste@gmail.com,F,88010050,Florianópolis/SC,Centro,1,Água,2.29,2021-03-31
Robert Brown,33,anafreisa.teste@gmail.com,M,4425120,São Paulo/SP,Guacuri,0,Vinho Tinto,69.9,2021-03-17
Troy Cannon,31,anafreisa.teste@gmail.com,F,3226053,São Paulo/SP,Jardim Avelino,0,Água,2.29,2021-02-28
Edward Graham,27,anafreisa.teste@gmail.com,M,78555286,Sinop/MT,Loteamento Village,0,Vinho Branco,56.9,2021-03-02
Julie Monroe,26,anafreisa.teste@gmail.com,F,8565210,Poá/SP,Jardim Obelisco,0,Água com gás,3.29,2021-03-21
Candace Lee,19,anafreisa.teste@gmail.com,F,87511036,Umuarama/PR,Parque Residencial Monte Líbano,0,Vodka,33.8,2021-03-17
Joshua Pitts,41,anafreisa.teste@gmail.com,M,78040280,Cuiabá/MT,Santa Rosa,0,Gelo,10.2,2021-03-20
Harold Richards DVM,50,anafreisa.teste@gmail.com,F,49509106,Itabaiana/SE,Mamede Paes Mendonça,0,Cerveja,4.0,2021-03-16
Erica Clayton,42,anafreisa.teste@gmail.com,F,88119273,São José/SC,Potecas,0,Vodka,33.8,2021-03-06
Brenda Gibson,25,anafreisa.teste@gmail.com,M,74550535,Goiânia/GO,Vila Abajá,0,Água,2.29,2021-03-21
Yvonne Horton,37,anafreisa.teste@gmail.com,F,68020170,Santarém/PA,Interventoria,0,Refrigerante Guaraná,2.3,2021-03-19
Nicole Sanchez,53,anafreisa.teste@gmail.com,F,6240180,Osasco/SP,Munhoz Júnior,0,Refrigerante Guaraná,2.3,2021-03-14
Evan Coleman,31,anafreisa.teste@gmail.com,F,53510040,Abreu e Lima/PE,Centro,0,Refrigerante Cola,3.5,2021-03-07
Tim Woods,26,anafreisa.teste@gmail.com,M,39515970,Itamirim (Espinosa)/MG  - Distrito,Centro,0,Refrigerante Guaraná,2.3,2021-03-08
Steve Thompson,18,anafreisa.teste@gmail.com,F,13635186,Pirassununga/SP,Jardim das Laranjeiras,0,Vinho Branco,56.9,2021-03-01
Steven Rodriguez,65,anafreisa.teste@gmail.com,F,13221584,Várzea Paulista/SP,Cidade Nova II,0,Vodka,33.8,2021-03-16
Kevin Fisher,72,anafreisa.teste@gmail.com,M,92020230,Canoas/RS,Marechal Rondon,0,whisky,129.0,2021-03-13
James Norman,26,anafreisa.teste@gmail.com,M,14703108,Bebedouro/SP,Parque Portal do Lago I,0,Vinho Tinto,69.9,2021-03-21
Michael Sanders,42,anafreisa.teste@gmail.com,F,15062252,São José do Rio Preto/SP,Estância Bela Vista III (Zona Rural),1,whisky,129.0,2021-03-31
Clarence Burton,31,anafreisa.teste@gmail.com,F,4476145,São Paulo/SP,Jardim das Laranjeiras (Zona Sul),0,Vinho Branco,56.9,2021-02-28
Mark Kramer,72,anafreisa.teste@gmail.com,F,74692202,Goiânia/GO,Residencial dos Ipês,0,Refrigerante Guaraná,2.3,2021-03-09
Carolyn Martin,26,anafreisa.teste@gmail.com,M,61810200,Pacatuba/CE,Pavuna,0,Refrigerante Guaraná,2.3,2021-03-17
Miguel Williamson,75,anafreisa.teste@gmail.com,M,89501012,Caçador/SC,Bom Sucesso,0,Vodka,33.8,2021-03-22
Katelyn Booker,37,anafreisa.teste@gmail.com,F,9030060,Santo André/SP,Vila Assunção,0,Refrigerante Cola,3.5,2021-02-17
Nicolas Bates,33,anafreisa.teste@gmail.com,M,66080480,Belém/PA,Pedreira,0,Vinho Branco,56.9,2021-03-03
Patricia Clark,64,anafreisa.teste@gmail.com,M,55152300,Belo Jardim/PE,COHAB-ll,0,Vinho Tinto,69.9,2021-03-15
John Craig,30,anafreisa.teste@gmail.com,M,88343609,Camboriú/SC,Rio Pequeno,1,Vinho Tinto,69.9,2021-03-23
Cathy Roberts,32,anafreisa.teste@gmail.com,F,31960500,Belo Horizonte/MG,Goiânia,0,Água com gás,3.29,2021-02-25
Megan Coleman,40,anafreisa.teste@gmail.com,F,6030170,Osasco/SP,Adalgisa,0,Vodka,33.8,2021-03-17
Barbara Hoffman,49,anafreisa.teste@gmail.com,F,9190260,Santo André/SP,Vila Pinheirinho,0,Refrigerante Guaraná,2.3,2021-02-11
Bradley Brown,35,anafreisa.teste@gmail.com,M,25809330,Três Rios/RJ,Boa União,0,Refrigerante Guaraná,2.3,2021-03-18
